,,PM2.5,PM10,CO,NO2,SO2,O3,time
488,488,24,62,0.639,9,28,29,2018/12/4 18:00
489,489,21,54,0.598,11,27,32,2018/12/4 19:00
490,490,21,56,0.607,8,22,36,2018/12/4 20:00
491,491,19,48,0.694,7,22,36,2018/12/4 21:00
492,492,27,54,0.629,7,20,39,2018/12/4 22:00
493,493,27,57,0.572,6,20,38,2018/12/4 23:00
494,494,17,62,0.548,7,18,38,2018/12/5 0:00
495,495,21,66,0.571,7,17,40,2018/12/5 1:00
496,496,20,67,0.533,7,14,45,2018/12/5 2:00
497,497,19,74,0.527,7,15,43,2018/12/5 3:00
498,498,22,80,0.541,7,16,43,2018/12/5 4:00
499,499,13,79,0.559,8,18,40,2018/12/5 5:00
500,500,20,79,0.598,9,25,36,2018/12/5 6:00
501,501,23,83,0.634,10,27,37,2018/12/5 7:00
502,502,25,88,0.624,9,27,39,2018/12/5 8:00
503,503,20,86,0.578,8,20,49,2018/12/5 9:00
504,504,21,82,0.602,7,19,50,2018/12/5 10:00
505,505,19,74,0.67,8,21,47,2018/12/5 11:00
506,506,24,72,0.686,7,24,46,2018/12/5 12:00
507,507,20,70,0.717,8,27,43,2018/12/5 13:00
508,508,20,68,0.691,8,32,36,2018/12/5 14:00
509,509,21,66,0.717,9,30,37,2018/12/5 15:00
510,510,19,73,0.785,8,36,32,2018/12/5 16:00
511,511,21,69,0.858,8,44,20,2018/12/5 17:00
512,512,29,65,0.895,7,47,12,2018/12/5 18:00
513,513,28,44,0.728,6,42,16,2018/12/5 19:00
514,514,24,29,0.666,6,35,20,2018/12/5 20:00
515,515,16,20,0.605,6,25,31,2018/12/5 21:00
516,516,10,15,0.579,7,16,46,2018/12/5 22:00
517,517,8,6,0.547,6,13,51,2018/12/5 23:00
518,518,15,6,0.512,6,9,55,2018/12/6 0:00
519,519,8,6,0.506,6,10,54,2018/12/6 1:00
520,520,3,6,0.512,5,8,57,2018/12/6 2:00
521,521,3,6,0.481,5,8,57,2018/12/6 3:00
522,522,13,6,0.496,5,12,52,2018/12/6 4:00
523,523,7,6,0.472,6,11,56,2018/12/6 5:00
524,524,3,8,0.503,6,17,48,2018/12/6 6:00
525,525,9,6,0.573,7,21,46,2018/12/6 7:00
526,526,7,7,0.57,7,19,48,2018/12/6 8:00
527,527,3,9,0.534,7,25,40,2018/12/6 9:00
528,528,16,16,0.549,6,29,36,2018/12/6 10:00
529,529,3,16,0.568,6,29,34,2018/12/6 11:00
530,530,,,,,,,2018/12/6 12:00
531,531,,,,,,,2018/12/6 13:00
532,532,,,,,,,2018/12/6 14:00
533,533,,,,,,,2018/12/6 15:00
534,534,,,,,,,2018/12/6 16:00
535,535,,,,,,,2018/12/6 17:00
536,536,,,,,,,2018/12/6 18:00
537,537,,,,,,,2018/12/6 19:00
538,538,,,,,,,2018/12/6 20:00
539,539,,,,,,,2018/12/6 21:00
540,540,,,,,,,2018/12/6 22:00
541,541,,,,,,,2018/12/6 23:00
542,542,49,86,0.793,8,27,20,2018/12/7 0:00
543,543,63,89,0.93,8,33,15,2018/12/7 1:00
544,544,71,110,1.002,8,30,16,2018/12/7 2:00
545,545,61,100,0.707,9,21,22,2018/12/7 3:00
546,546,46,73,0.474,8,15,26,2018/12/7 4:00
547,547,26,60,0.366,8,16,28,2018/12/7 5:00
548,548,12,50,0.383,8,18,28,2018/12/7 6:00
549,549,27,47,0.422,9,25,26,2018/12/7 7:00
550,550,19,44,0.416,8,25,26,2018/12/7 8:00
551,551,17,56,0.356,8,24,27,2018/12/7 9:00
552,552,18,43,0.331,8,27,28,2018/12/7 10:00
553,553,11,28,0.303,7,25,30,2018/12/7 11:00
554,554,11,28,0.252,8,24,31,2018/12/7 12:00
555,555,14,31,0.272,10,27,31,2018/12/7 13:00
556,556,18,38,0.284,9,27,29,2018/12/7 14:00
557,557,16,42,0.302,8,31,28,2018/12/7 15:00
558,558,16,42,0.265,8,26,31,2018/12/7 16:00
559,559,15,39,0.255,8,26,34,2018/12/7 17:00
560,560,22,45,0.267,8,29,33,2018/12/7 18:00
561,561,17,43,0.299,8,31,30,2018/12/7 19:00
562,562,17,43,0.264,9,30,30,2018/12/7 20:00
563,563,20,39,0.24,10,33,29,2018/12/7 21:00
564,564,15,44,0.207,9,28,32,2018/12/7 22:00
565,565,16,35,0.193,10,22,36,2018/12/7 23:00
566,566,21,37,0.186,10,19,39,2018/12/8 0:00
567,567,14,40,0.178,10,18,39,2018/12/8 1:00
568,568,26,38,0.159,12,18,40,2018/12/8 2:00
569,569,20,41,0.153,10,16,40,2018/12/8 3:00
570,570,17,44,0.18,10,14,44,2018/12/8 4:00
571,571,22,39,0.218,15,21,44,2018/12/8 5:00
572,572,27,48,0.295,14,26,40,2018/12/8 6:00
573,573,24,45,0.321,12,29,38,2018/12/8 7:00
574,574,23,55,0.318,13,31,38,2018/12/8 8:00
575,575,28,56,0.305,14,30,41,2018/12/8 9:00
576,576,25,67,0.255,15,30,44,2018/12/8 10:00
577,577,36,58,0.252,18,31,45,2018/12/8 11:00
578,578,31,73,0.248,16,28,47,2018/12/8 12:00
579,579,26,59,0.243,16,32,46,2018/12/8 13:00
580,580,24,56,0.25,14,28,48,2018/12/8 14:00
581,581,29,61,0.267,14,33,48,2018/12/8 15:00
582,582,37,59,0.245,14,33,47,2018/12/8 16:00
583,583,29,55,0.354,14,37,45,2018/12/8 17:00
584,584,29,66,0.405,19,36,44,2018/12/8 18:00
585,585,35,64,0.442,18,38,42,2018/12/8 19:00
586,586,40,65,0.482,13,38,42,2018/12/8 20:00
587,587,36,73,0.476,17,39,41,2018/12/8 21:00
588,588,35,68,0.482,16,39,40,2018/12/8 22:00
589,589,44,72,0.493,19,35,41,2018/12/8 23:00
590,590,41,85,0.517,16,32,40,2018/12/9 0:00
591,591,43,70,0.523,16,30,40,2018/12/9 1:00
592,592,36,63,0.49,18,29,41,2018/12/9 2:00
593,593,36,55,0.447,14,23,47,2018/12/9 3:00
594,594,31,49,0.324,12,25,48,2018/12/9 4:00
595,595,32,48,0.281,21,29,48,2018/12/9 5:00
596,596,28,42,0.288,22,32,46,2018/12/9 6:00
597,597,29,39,0.373,17,32,46,2018/12/9 7:00
598,598,37,61,0.562,13,36,44,2018/12/9 8:00
599,599,37,57,0.514,11,34,44,2018/12/9 9:00
600,600,27,65,0.421,12,31,46,2018/12/9 10:00
601,601,31,54,0.429,10,36,45,2018/12/9 11:00
602,602,32,58,0.428,10,43,43,2018/12/9 12:00
603,603,25,57,0.472,16,41,42,2018/12/9 13:00
604,604,40,46,0.414,14,41,42,2018/12/9 14:00
605,605,34,48,0.438,15,49,37,2018/12/9 15:00
606,606,32,49,0.448,9,50,30,2018/12/9 16:00
607,607,38,48,0.466,12,50,30,2018/12/9 17:00
608,608,40,47,0.469,14,50,30,2018/12/9 18:00
609,609,39,45,0.498,9,48,30,2018/12/9 19:00
610,610,43,37,0.466,7,47,30,2018/12/9 20:00
611,611,41,40,0.447,7,53,26,2018/12/9 21:00
612,612,41,37,0.398,15,52,22,2018/12/9 22:00
613,613,39,38,0.347,14,46,26,2018/12/9 23:00
614,614,29,30,0.305,11,39,33,2018/12/10 0:00
615,615,39,28,0.281,7,28,39,2018/12/10 1:00
616,616,20,21,0.283,6,23,44,2018/12/10 2:00
617,617,16,18,0.35,6,23,46,2018/12/10 3:00
618,618,21,14,0.341,8,27,42,2018/12/10 4:00
619,619,16,15,0.273,11,26,44,2018/12/10 5:00
620,620,20,18,0.312,6,26,46,2018/12/10 6:00
621,621,15,17,0.38,6,36,38,2018/12/10 7:00
622,622,18,12,0.377,6,30,43,2018/12/10 8:00
623,623,16,21,0.433,5,32,43,2018/12/10 9:00
624,624,16,20,0.456,5,33,45,2018/12/10 10:00
625,625,17,16,0.511,5,34,41,2018/12/10 11:00
626,626,27,21,0.459,6,34,42,2018/12/10 12:00
627,627,13,17,0.466,6,35,40,2018/12/10 13:00
628,628,23,10,0.48,6,38,40,2018/12/10 14:00
629,629,13,14,0.437,5,40,39,2018/12/10 15:00
630,630,15,13,0.459,5,38,38,2018/12/10 16:00
631,631,33,23,0.564,5,48,32,2018/12/10 17:00
632,632,19,23,0.609,5,54,28,2018/12/10 18:00
633,633,27,20,0.518,5,43,30,2018/12/10 19:00
634,634,18,21,0.43,5,33,41,2018/12/10 20:00
635,635,14,15,0.403,5,26,47,2018/12/10 21:00
636,636,14,10,0.418,5,28,49,2018/12/10 22:00
637,637,17,16,0.433,5,28,46,2018/12/10 23:00
638,638,16,17,0.415,5,21,48,2018/12/11 0:00
639,639,13,12,0.385,5,16,53,2018/12/11 1:00
640,640,7,11,0.398,5,16,57,2018/12/11 2:00
641,641,16,8,0.36,6,17,54,2018/12/11 3:00
642,642,11,7,0.34,7,12,61,2018/12/11 4:00
643,643,7,6,0.353,5,14,61,2018/12/11 5:00
644,644,10,6,0.399,6,20,61,2018/12/11 6:00
645,645,9,6,0.506,6,47,50,2018/12/11 7:00
646,646,14,6,0.531,6,40,41,2018/12/11 8:00
647,647,12,13,0.61,5,35,37,2018/12/11 9:00
648,648,43,52,0.632,5,36,32,2018/12/11 10:00
649,649,52,50,0.805,5,37,34,2018/12/11 11:00
650,650,72,75,1.413,7,35,29,2018/12/11 12:00
651,651,58,64,1.042,6,32,33,2018/12/11 13:00
652,652,41,49,0.879,6,33,40,2018/12/11 14:00
653,653,44,36,1.098,6,40,37,2018/12/11 15:00
654,654,49,55,0.897,7,42,33,2018/12/11 16:00
655,655,51,52,0.895,6,50,29,2018/12/11 17:00
656,656,77,78,1.046,8,43,34,2018/12/11 18:00
657,657,101,103,1.087,9,44,36,2018/12/11 19:00
658,658,115,123,1.022,9,42,37,2018/12/11 20:00
659,659,111,132,1.102,11,43,38,2018/12/11 21:00
660,660,120,132,1.074,11,40,40,2018/12/11 22:00
661,661,125,147,1.419,15,41,42,2018/12/11 23:00
662,662,140,159,1.227,15,40,45,2018/12/12 0:00
663,663,137,150,1.201,14,37,47,2018/12/12 1:00
664,664,110,124,1.117,15,30,51,2018/12/12 2:00
665,665,111,123,1.167,16,36,49,2018/12/12 3:00
666,666,120,139,1.409,17,43,41,2018/12/12 4:00
667,667,137,163,1.288,16,45,36,2018/12/12 5:00
668,668,144,172,1.472,15,55,27,2018/12/12 6:00
669,669,149,181,1.626,15,58,20,2018/12/12 7:00
670,670,128,171,1.15,15,48,23,2018/12/12 8:00
671,671,92,124,0.868,15,38,38,2018/12/12 9:00
672,672,68,91,0.793,13,39,43,2018/12/12 10:00
673,673,53,79,0.83,14,39,54,2018/12/12 11:00
674,674,62,80,1.109,15,41,67,2018/12/12 12:00
675,675,69,82,1.383,16,48,69,2018/12/12 13:00
676,676,68,92,1.408,16,53,61,2018/12/12 14:00
677,677,64,93,0.953,13,39,71,2018/12/12 15:00
678,678,51,71,0.917,11,44,70,2018/12/12 16:00
679,679,58,73,0.981,10,64,55,2018/12/12 17:00
680,680,68,100,1.164,10,83,39,2018/12/12 18:00
681,681,71,111,1.088,11,74,40,2018/12/12 19:00
682,682,72,96,1.217,10,89,28,2018/12/12 20:00
683,683,75,123,1.754,11,91,8,2018/12/12 21:00
684,684,86,135,1.496,10,83,5,2018/12/12 22:00
685,685,75,107,1.225,11,83,7,2018/12/12 23:00
686,686,80,109,1.022,14,78,11,2018/12/13 0:00
687,687,70,98,0.999,12,72,18,2018/12/13 1:00
688,688,72,81,1.104,10,66,17,2018/12/13 2:00
689,689,72,88,1.108,9,64,18,2018/12/13 3:00
690,690,78,105,1.163,8,59,23,2018/12/13 4:00
691,691,73,87,1.471,9,58,20,2018/12/13 5:00
692,692,74,98,1.415,9,61,21,2018/12/13 6:00
693,693,80,105,1.484,10,67,16,2018/12/13 7:00
694,694,86,130,1.416,13,67,9,2018/12/13 8:00
695,695,105,138,1.444,25,63,34,2018/12/13 9:00
696,696,,,,,,,2018/12/13 10:00
697,697,,,,,,,2018/12/13 11:00
698,698,,,,,,,2018/12/13 12:00
699,699,,,,,,,2018/12/13 13:00
700,700,,,,,,,2018/12/13 14:00
701,701,,,,,,,2018/12/13 15:00
702,702,125,138,1.046,16,56,59,2018/12/13 16:00
703,703,91,127,1.036,14,67,50,2018/12/13 17:00
704,704,83,130,1.064,12,78,35,2018/12/13 18:00
705,705,71,113,0.991,12,72,34,2018/12/13 19:00
706,706,71,108,0.918,12,77,30,2018/12/13 20:00
707,707,78,118,1.036,11,85,20,2018/12/13 21:00
708,708,69,126,1.02,11,78,20,2018/12/13 22:00
709,709,88,117,0.988,12,79,21,2018/12/13 23:00
710,710,93,124,1.069,12,77,16,2018/12/14 0:00
711,711,95,126,1.147,10,68,15,2018/12/14 1:00
712,712,91,121,1.14,10,66,16,2018/12/14 2:00
713,713,98,113,1.162,9,58,18,2018/12/14 3:00
714,714,81,119,1.129,10,63,15,2018/12/14 4:00
715,715,82,121,1.136,12,62,14,2018/12/14 5:00
716,716,71,103,0.873,12,49,24,2018/12/14 6:00
717,717,47,68,0.802,10,43,30,2018/12/14 7:00
718,718,37,82,0.845,10,39,34,2018/12/14 8:00
719,719,40,77,0.812,11,34,37,2018/12/14 9:00
720,720,38,63,0.844,11,33,43,2018/12/14 10:00
721,721,37,72,0.826,12,28,51,2018/12/14 11:00
722,722,35,72,0.848,12,30,57,2018/12/14 12:00
723,723,,,,,,,2018/12/14 13:00
724,724,,,,,,,2018/12/14 14:00
725,725,,,,,,,2018/12/14 15:00
726,726,,,,,,,2018/12/14 16:00
727,727,35,84,0.859,11,58,42,2018/12/14 17:00
728,728,37,80,0.776,10,54,42,2018/12/14 18:00
729,729,38,87,0.872,10,61,37,2018/12/14 19:00
730,730,44,79,0.907,10,80,21,2018/12/14 20:00
731,731,43,93,0.859,10,75,17,2018/12/14 21:00
732,732,46,91,0.791,10,59,18,2018/12/14 22:00
733,733,44,72,0.76,9,45,26,2018/12/14 23:00
734,734,31,49,0.654,9,24,44,2018/12/15 0:00
735,735,20,44,0.72,10,25,45,2018/12/15 1:00
736,736,30,46,0.801,10,24,46,2018/12/15 2:00
737,737,29,41,0.847,11,26,45,2018/12/15 3:00
738,738,25,38,0.843,11,25,45,2018/12/15 4:00
739,739,33,41,0.849,11,26,45,2018/12/15 5:00
740,740,22,37,0.846,12,30,42,2018/12/15 6:00
741,741,21,45,0.907,11,35,37,2018/12/15 7:00
742,742,27,50,0.864,10,30,40,2018/12/15 8:00
743,743,23,85,0.851,10,34,38,2018/12/15 9:00
744,744,25,57,0.82,10,33,38,2018/12/15 10:00
745,745,27,56,0.816,9,37,36,2018/12/15 11:00
746,746,27,57,0.766,10,36,35,2018/12/15 12:00
747,747,22,57,0.663,8,36,36,2018/12/15 13:00
748,748,25,55,0.666,8,41,32,2018/12/15 14:00
749,749,25,57,0.706,9,47,27,2018/12/15 15:00
750,750,24,53,0.787,8,56,20,2018/12/15 16:00
751,751,27,41,0.835,8,60,17,2018/12/15 17:00
752,752,22,32,0.858,8,60,13,2018/12/15 18:00
753,753,25,29,0.873,8,63,10,2018/12/15 19:00
754,754,26,27,0.912,7,57,8,2018/12/15 20:00
755,755,22,15,0.927,7,53,7,2018/12/15 21:00
756,756,20,18,1.035,7,54,6,2018/12/15 22:00
757,757,28,26,1.021,8,49,7,2018/12/15 23:00
758,758,31,44,0.985,7,42,11,2018/12/16 0:00
759,759,48,55,0.956,6,38,15,2018/12/16 1:00
760,760,61,72,0.965,7,31,18,2018/12/16 2:00
761,761,58,68,0.967,7,27,20,2018/12/16 3:00
762,762,59,75,0.975,7,26,21,2018/12/16 4:00
763,763,68,97,1.033,7,27,23,2018/12/16 5:00
764,764,81,101,1.055,7,29,23,2018/12/16 6:00
765,765,71,97,1.097,8,33,18,2018/12/16 7:00
766,766,78,99,1.127,9,35,21,2018/12/16 8:00
767,767,79,112,1.154,9,40,23,2018/12/16 9:00
768,768,92,121,1.154,9,32,27,2018/12/16 10:00
769,769,89,112,1.154,10,31,41,2018/12/16 11:00
770,770,81,122,1.204,11,29,53,2018/12/16 12:00
771,771,75,117,1.187,12,30,58,2018/12/16 13:00
772,772,79,117,1.238,11,42,57,2018/12/16 14:00
773,773,86,131,1.267,11,39,56,2018/12/16 15:00
774,774,80,134,1.304,11,54,48,2018/12/16 16:00
775,775,101,143,1.461,10,75,30,2018/12/16 17:00
776,776,88,155,1.705,9,86,18,2018/12/16 18:00
777,777,104,154,1.66,10,84,15,2018/12/16 19:00
778,778,89,153,1.893,11,85,6,2018/12/16 20:00
779,779,96,161,1.623,12,76,7,2018/12/16 21:00
780,780,94,139,1.397,11,66,16,2018/12/16 22:00
781,781,96,140,1.596,9,70,13,2018/12/16 23:00
782,782,105,145,1.782,8,64,7,2018/12/17 0:00
783,783,106,154,1.609,9,60,5,2018/12/17 1:00
784,784,106,156,1.733,9,53,5,2018/12/17 2:00
785,785,108,153,1.628,10,55,5,2018/12/17 3:00
786,786,114,153,1.793,10,58,5,2018/12/17 4:00
787,787,120,160,2.127,10,56,6,2018/12/17 5:00
788,788,117,166,2.458,11,55,5,2018/12/17 6:00
789,789,114,174,2.944,14,67,5,2018/12/17 7:00
790,790,130,208,2.954,19,73,6,2018/12/17 8:00
791,791,132,203,1.481,15,57,15,2018/12/17 9:00
792,792,107,142,1.262,14,50,28,2018/12/17 10:00
793,793,95,143,1.261,12,35,43,2018/12/17 11:00
794,794,90,127,1.162,11,36,57,2018/12/17 12:00
795,795,81,125,1.111,12,34,61,2018/12/17 13:00
796,796,61,99,0.918,11,26,68,2018/12/17 14:00
797,797,42,91,0.921,12,62,45,2018/12/17 15:00
798,798,39,96,0.994,11,65,34,2018/12/17 16:00
799,799,36,107,1.616,12,94,11,2018/12/17 17:00
800,800,57,277,3.095,15,104,6,2018/12/17 18:00
801,801,101,292,3.72,18,95,5,2018/12/17 19:00
802,802,106,258,3.261,17,86,4,2018/12/17 20:00
803,803,84,185,2.993,16,83,5,2018/12/17 21:00
804,804,83,202,2.804,16,77,5,2018/12/17 22:00
805,805,67,167,2.764,16,72,4,2018/12/17 23:00
806,806,62,145,2.635,15,63,4,2018/12/18 0:00
807,807,67,127,2.203,15,61,4,2018/12/18 1:00
808,808,59,113,2.126,14,59,4,2018/12/18 2:00
809,809,57,106,1.915,14,60,4,2018/12/18 3:00
810,810,66,117,1.86,14,62,3,2018/12/18 4:00
811,811,69,122,1.75,14,68,4,2018/12/18 5:00
812,812,78,135,1.932,14,66,4,2018/12/18 6:00
813,813,79,151,2.109,14,68,5,2018/12/18 7:00
814,814,89,182,2.117,15,71,5,2018/12/18 8:00
815,815,95,212,2.144,17,74,5,2018/12/18 9:00
816,816,97,180,2.287,21,79,6,2018/12/18 10:00
817,817,92,142,2.018,22,65,14,2018/12/18 11:00
818,818,80,125,2.295,25,75,19,2018/12/18 12:00
819,819,75,135,2.054,21,71,28,2018/12/18 13:00
820,820,60,102,1.94,18,70,32,2018/12/18 14:00
821,821,51,96,2.122,18,76,35,2018/12/18 15:00
822,822,48,109,2.397,19,108,14,2018/12/18 16:00
823,823,67,165,2.703,17,120,5,2018/12/18 17:00
824,824,96,223,2.218,16,108,4,2018/12/18 18:00
825,825,72,137,1.863,13,94,5,2018/12/18 19:00
826,826,76,134,2.205,12,89,4,2018/12/18 20:00
827,827,72,135,2.91,14,87,5,2018/12/18 21:00
828,828,84,141,3.112,14,87,5,2018/12/18 22:00
829,829,77,143,2.597,15,80,5,2018/12/18 23:00
830,830,74,113,2.448,13,73,4,2018/12/19 0:00
831,831,71,109,2.278,12,67,4,2018/12/19 1:00
832,832,73,95,2.056,12,64,4,2018/12/19 2:00
833,833,65,95,1.856,11,62,4,2018/12/19 3:00
834,834,56,91,1.592,11,65,5,2018/12/19 4:00
835,835,68,90,1.49,12,65,7,2018/12/19 5:00
836,836,61,98,1.56,13,66,7,2018/12/19 6:00
837,837,62,107,1.84,14,69,6,2018/12/19 7:00
838,838,59,132,1.84,15,69,5,2018/12/19 8:00
839,839,71,140,1.77,16,74,5,2018/12/19 9:00
840,840,63,143,1.664,16,75,5,2018/12/19 10:00
841,841,,,,,,,2018/12/19 11:00
842,842,,,,,,,2018/12/19 12:00
843,843,,,,,,,2018/12/19 13:00
844,844,,,,,,,2018/12/19 14:00
845,845,,,,,,,2018/12/19 15:00
846,846,25,52,0.956,9,84,4,2018/12/19 16:00
847,847,18,29,0.938,8,82,5,2018/12/19 17:00
848,848,20,32,0.966,7,74,7,2018/12/19 18:00
849,849,22,29,1.297,9,76,2,2018/12/19 19:00
850,850,32,30,1.474,9,87,2,2018/12/19 20:00
851,851,34,38,1.294,9,84,2,2018/12/19 21:00
852,852,22,27,0.961,8,79,3,2018/12/19 22:00
853,853,14,15,0.799,7,62,8,2018/12/19 23:00
854,854,17,12,0.916,7,61,3,2018/12/20 0:00
855,855,14,14,0.943,7,62,2,2018/12/20 1:00
856,856,22,19,0.882,8,71,2,2018/12/20 2:00
857,857,21,16,0.816,7,72,3,2018/12/20 3:00
858,858,18,16,0.59,6,62,10,2018/12/20 4:00
859,859,17,18,0.567,6,40,24,2018/12/20 5:00
860,860,18,13,0.63,6,43,19,2018/12/20 6:00
861,861,26,22,0.946,8,69,2,2018/12/20 7:00
862,862,16,24,0.731,7,67,14,2018/12/20 8:00
863,863,13,20,0.722,7,69,23,2018/12/20 9:00
864,864,18,24,0.781,7,70,10,2018/12/20 10:00
865,865,24,31,0.669,7,59,27,2018/12/20 11:00
866,866,18,25,0.607,7,46,38,2018/12/20 12:00
867,867,26,38,0.573,7,40,46,2018/12/20 13:00
868,868,28,70,0.686,7,46,39,2018/12/20 14:00
869,869,36,100,0.712,8,52,37,2018/12/20 15:00
870,870,32,62,0.846,8,65,24,2018/12/20 16:00
871,871,41,76,1.061,8,75,8,2018/12/20 17:00
872,872,43,77,1.37,9,78,3,2018/12/20 18:00
873,873,67,89,1.686,9,82,2,2018/12/20 19:00
874,874,65,85,1.958,10,78,2,2018/12/20 20:00
875,875,62,98,1.746,11,79,2,2018/12/20 21:00
876,876,64,93,1.466,10,74,2,2018/12/20 22:00
877,877,69,86,1.449,9,70,3,2018/12/20 23:00
878,878,64,89,1.376,9,63,2,2018/12/21 0:00
879,879,54,74,1.315,9,58,2,2018/12/21 1:00
880,880,60,68,1.33,9,51,2,2018/12/21 2:00
881,881,50,64,1.323,9,52,3,2018/12/21 3:00
882,882,41,66,1.069,9,56,2,2018/12/21 4:00
883,883,41,61,1.068,9,54,3,2018/12/21 5:00
884,884,41,64,1.17,10,57,2,2018/12/21 6:00
885,885,43,59,1.422,12,71,3,2018/12/21 7:00
886,886,57,81,1.469,13,72,3,2018/12/21 8:00
887,887,48,82,1.354,12,76,5,2018/12/21 9:00
888,888,47,89,1.554,13,79,6,2018/12/21 10:00
889,889,49,90,1.262,12,64,27,2018/12/21 11:00
890,890,44,59,1.394,12,64,26,2018/12/21 12:00
891,891,55,65,1.376,12,56,31,2018/12/21 13:00
892,892,44,74,1.269,11,64,19,2018/12/21 14:00
893,893,54,84,1.27,10,65,17,2018/12/21 15:00
894,894,51,62,1.307,10,66,13,2018/12/21 16:00
895,895,49,75,1.42,10,73,3,2018/12/21 17:00
896,896,63,100,1.536,11,77,3,2018/12/21 18:00
897,897,77,97,1.465,11,77,4,2018/12/21 19:00
898,898,72,87,1.284,11,76,4,2018/12/21 20:00
899,899,60,88,1.231,12,79,2,2018/12/21 21:00
900,900,61,96,1.207,11,76,2,2018/12/21 22:00
901,901,73,97,1.157,10,71,3,2018/12/21 23:00
902,902,70,92,1.157,10,66,2,2018/12/22 0:00
903,903,63,90,1.146,10,67,2,2018/12/22 1:00
904,904,68,94,1.145,10,64,2,2018/12/22 2:00
905,905,76,87,1.064,13,54,5,2018/12/22 3:00
906,906,67,67,1.03,9,36,20,2018/12/22 4:00
907,907,64,67,0.923,8,28,40,2018/12/22 5:00
908,908,50,48,0.831,7,27,47,2018/12/22 6:00
909,909,39,40,0.947,8,27,48,2018/12/22 7:00
910,910,36,40,1.039,7,26,58,2018/12/22 8:00
911,911,42,37,1.111,7,30,41,2018/12/22 9:00
912,912,49,48,1.192,7,33,33,2018/12/22 10:00
913,913,46,52,1.267,7,34,27,2018/12/22 11:00
914,914,66,66,1.337,7,37,20,2018/12/22 12:00
915,915,56,60,1.334,8,34,23,2018/12/22 13:00
916,916,59,59,1.414,10,39,18,2018/12/22 14:00
917,917,76,64,1.498,10,36,20,2018/12/22 15:00
918,918,65,62,1.472,8,35,22,2018/12/22 16:00
919,919,65,80,1.664,8,42,13,2018/12/22 17:00
920,920,89,109,1.677,8,35,20,2018/12/22 18:00
921,921,84,93,1.625,8,30,29,2018/12/22 19:00
922,922,87,83,1.546,8,30,26,2018/12/22 20:00
923,923,77,76,1.509,7,29,27,2018/12/22 21:00
924,924,75,77,1.467,8,26,36,2018/12/22 22:00
925,925,96,93,1.5,7,32,19,2018/12/22 23:00
926,926,102,104,1.443,8,33,23,2018/12/23 0:00
927,927,86,94,1.355,8,27,35,2018/12/23 1:00
928,928,101,115,1.409,9,29,25,2018/12/23 2:00
929,929,107,125,1.476,9,35,15,2018/12/23 3:00
930,930,131,146,1.622,11,37,13,2018/12/23 4:00
931,931,129,153,2.828,15,47,3,2018/12/23 5:00
932,932,118,161,3.444,17,53,2,2018/12/23 6:00
933,933,120,163,2.632,16,56,4,2018/12/23 7:00
934,934,125,166,2.749,17,60,6,2018/12/23 8:00
935,935,131,181,3.162,22,71,13,2018/12/23 9:00
936,936,127,186,2.951,24,76,24,2018/12/23 10:00
937,937,125,175,2.355,22,69,37,2018/12/23 11:00
938,938,,,,,,,2018/12/23 12:00
939,939,,,,,,,2018/12/23 13:00
940,940,58,109,1.131,17,40,69,2018/12/23 14:00
941,941,69,117,1.102,19,41,73,2018/12/23 15:00
942,942,66,115,1.055,18,40,69,2018/12/23 16:00
943,943,66,126,1.1,17,57,44,2018/12/23 17:00
944,944,73,133,1.209,16,68,26,2018/12/23 18:00
945,945,75,130,1.234,16,67,22,2018/12/23 19:00
946,946,79,116,1.354,16,88,5,2018/12/23 20:00
947,947,81,150,1.607,14,93,4,2018/12/23 21:00
948,948,74,132,1.429,15,93,3,2018/12/23 22:00
949,949,77,144,1.392,15,75,9,2018/12/23 23:00
950,950,82,132,1.475,14,65,6,2018/12/24 0:00
951,951,76,133,1.515,13,71,2,2018/12/24 1:00
952,952,77,132,1.499,12,64,2,2018/12/24 2:00
953,953,61,111,1.434,11,58,4,2018/12/24 3:00
954,954,56,112,1.325,11,48,9,2018/12/24 4:00
955,955,48,93,1.213,11,45,10,2018/12/24 5:00
956,956,50,90,1.281,10,58,2,2018/12/24 6:00
957,957,48,97,1.345,12,59,5,2018/12/24 7:00
958,958,40,103,1.422,14,51,13,2018/12/24 8:00
959,959,51,117,1.229,13,47,25,2018/12/24 9:00
960,960,,,,,,,2018/12/24 10:00
961,961,,,,,,,2018/12/24 11:00
962,962,,,,,,,2018/12/24 12:00
963,963,,,,,,,2018/12/24 13:00
964,964,36,94,0.838,10,32,64,2018/12/24 14:00
965,965,37,89,0.978,11,44,52,2018/12/24 15:00
966,966,40,117,0.838,10,43,57,2018/12/24 16:00
967,967,37,102,0.931,10,39,56,2018/12/24 17:00
968,968,36,101,0.794,10,33,63,2018/12/24 18:00
969,969,39,82,0.7,10,32,63,2018/12/24 19:00
970,970,39,80,0.733,9,42,44,2018/12/24 20:00
971,971,34,87,0.915,11,63,14,2018/12/24 21:00
972,972,44,109,0.99,12,63,12,2018/12/24 22:00
973,973,44,94,0.862,11,54,20,2018/12/24 23:00
974,974,36,82,0.817,11,50,19,2018/12/25 0:00
975,975,40,74,0.786,11,48,18,2018/12/25 1:00
976,976,29,72,0.736,10,45,20,2018/12/25 2:00
977,977,27,68,0.753,9,41,18,2018/12/25 3:00
